"subjID","trial","deck","loss","gain","Study","group_id"
6,18,2,0,100,"Horstmann",1
6,19,2,0,100,"Horstmann",1
6,20,4,0,50,"Horstmann",1
6,21,2,0,100,"Horstmann",1
6,22,2,0,100,"Horstmann",1
6,23,2,0,100,"Horstmann",1
6,24,4,0,50,"Horstmann",1
6,25,3,0,50,"Horstmann",1
6,26,2,0,100,"Horstmann",1
6,27,2,-1250,100,"Horstmann",1
6,28,1,0,100,"Horstmann",1
6,29,2,0,100,"Horstmann",1
6,30,1,0,100,"Horstmann",1
6,31,2,0,100,"Horstmann",1
6,32,4,-250,50,"Horstmann",1
6,33,2,0,100,"Horstmann",1
6,34,2,0,100,"Horstmann",1
6,35,2,0,100,"Horstmann",1
6,36,2,0,100,"Horstmann",1
6,37,1,0,100,"Horstmann",1
6,38,2,0,100,"Horstmann",1
6,39,2,0,100,"Horstmann",1
6,40,2,0,100,"Horstmann",1
6,41,1,-200,100,"Horstmann",1
6,42,2,-1250,100,"Horstmann",1
6,43,2,0,100,"Horstmann",1
6,44,2,0,100,"Horstmann",1
6,45,2,0,100,"Horstmann",1
6,46,2,0,100,"Horstmann",1
6,47,2,0,100,"Horstmann",1
6,48,2,-1250,100,"Horstmann",1
6,49,2,0,100,"Horstmann",1
6,50,2,0,100,"Horstmann",1
6,51,2,0,100,"Horstmann",1
6,52,2,0,100,"Horstmann",1
6,53,2,0,100,"Horstmann",1
6,54,1,0,100,"Horstmann",1
6,55,2,0,100,"Horstmann",1
6,56,2,0,100,"Horstmann",1
6,57,2,0,100,"Horstmann",1
6,58,2,0,100,"Horstmann",1
6,59,2,0,100,"Horstmann",1
6,60,1,-250,100,"Horstmann",1
6,61,2,0,100,"Horstmann",1
6,62,2,0,100,"Horstmann",1
6,63,2,0,100,"Horstmann",1
6,64,2,0,100,"Horstmann",1
6,65,2,0,100,"Horstmann",1
6,66,4,0,50,"Horstmann",1
6,67,2,-1250,100,"Horstmann",1
6,68,2,0,100,"Horstmann",1
6,69,2,0,100,"Horstmann",1
6,70,2,0,100,"Horstmann",1
6,71,2,0,100,"Horstmann",1
